"","date","fav_count","rep_count","ret_count","user_count","tweet_count"
"498",2015-05-31,0,0,0,1,1
"499",2015-06-01,0,0,11,7,6
"500",2015-06-02,0,0,4,5,3
"501",2015-06-03,0,0,3,4,2
"502",2015-06-04,0,2,0,2,2
"503",2015-06-05,1,1,18,26,14
"504",2015-06-06,0,0,12,14,7
"505",2015-06-07,0,0,2,2,2
"506",2015-06-08,1,0,28,8,6
"507",2015-06-09,0,0,3,4,3
"508",2015-06-12,0,0,2,1,1
"509",2015-06-13,0,0,2,3,3
"510",2015-06-14,3,1,14,19,10
"511",2015-06-15,0,0,0,1,1
"512",2015-06-16,0,0,0,1,1
"513",2015-06-17,1,0,6,2,2
"514",2015-06-18,0,0,3,8,3
"515",2015-06-19,0,0,4,6,4
"516",2015-06-20,0,0,3,2,2
"517",2015-06-21,1,0,3,1,1
"518",2015-06-23,0,0,0,1,1
"519",2015-06-24,0,0,0,1,1
"520",2015-06-25,0,0,15,5,5
"521",2015-06-26,2,0,7,8,5
"522",2015-06-28,0,1,6,4,2
"523",2015-06-29,0,1,5,3,2
"524",2015-06-30,0,0,14,4,2
"525",2015-07-01,0,0,2,1,1
"526",2015-07-04,1,1,2,7,3
"527",2015-07-05,0,0,2,4,3
"528",2015-07-06,0,0,6,7,4
"529",2015-07-07,0,0,5,9,5
"530",2015-07-08,0,0,0,2,2
"531",2015-07-09,0,0,0,1,1
"532",2015-07-10,0,0,0,2,2
"533",2015-07-11,1,0,4,2,2
"534",2015-07-14,1,0,4,1,1
"535",2015-07-15,0,0,1,1,1
"536",2015-07-17,0,0,0,1,1
"537",2015-07-18,0,2,9,6,3
"538",2015-07-22,2,0,23,3,2
"539",2015-07-23,0,0,1,1,1
"540",2015-07-25,0,1,3,2,2
"541",2015-07-29,0,0,0,2,2
"542",2015-07-30,1,2,15,7,4
"543",2015-08-01,0,0,1,1,1
"544",2015-08-03,0,1,0,3,2
"545",2015-08-04,0,0,0,2,2
"546",2015-08-07,1,0,1,5,5
"547",2015-08-08,0,0,0,1,1
"548",2015-08-09,0,0,4,2,2
"549",2015-08-10,0,0,0,1,1
"550",2015-08-12,4,2,33,9,7
"551",2015-08-15,0,2,9,6,5
"552",2015-08-16,0,0,5,5,3
"553",2015-08-17,13,9,39,4,3
"554",2015-08-19,4,3,76,5,4
"555",2015-08-20,3,1,23,8,4
"556",2015-08-21,0,0,2,2,1
"557",2015-08-22,0,0,4,3,1
"558",2015-08-23,1,1,14,10,5
"559",2015-08-24,0,0,3,3,3
"560",2015-08-25,19,5,84,41,14
"561",2015-08-26,8,6,105,113,58
"562",2015-08-27,0,0,12,21,18
"563",2015-08-28,8,9,105,10,5
"564",2015-08-29,0,1,4,15,10
"565",2015-08-30,1,1,5,6,3
"566",2015-08-31,0,0,2,1,1
"567",2015-09-01,6,9,76,44,20
"568",2015-09-02,0,0,47,14,14
"569",2015-09-03,1,1,16,16,10
"570",2015-09-04,0,1,0,7,3
"571",2015-09-05,5,0,34,8,3
"572",2015-09-06,3,1,13,22,10
"573",2015-09-07,3,1,13,7,4
"574",2015-09-08,0,1,0,2,2
"575",2015-09-10,0,1,9,8,8
"576",2015-09-11,1,0,8,11,10
"577",2015-09-12,1,2,17,4,2
"578",2015-09-13,4,0,42,17,11
"579",2015-09-14,0,0,18,7,4
"580",2015-09-15,0,0,9,1,1
"581",2015-09-17,0,0,7,3,3
"582",2015-09-18,0,1,7,9,4
"583",2015-09-19,0,0,0,4,2
"584",2015-09-20,0,0,0,1,1
"585",2015-09-21,0,0,7,3,3
"586",2015-09-22,0,0,4,9,6
"587",2015-09-23,4,3,54,7,6
"588",2015-09-24,5,1,27,12,5
"589",2015-09-25,0,0,3,4,3
"590",2015-09-27,2,0,9,6,3
"591",2015-09-29,6,0,23,6,4
"592",2015-10-01,0,0,14,1,1
"593",2015-10-02,0,0,4,9,9
"594",2015-10-03,2,1,2,7,7
"595",2015-10-04,0,0,0,15,10
"596",2015-10-05,2,3,4,3,3
"597",2015-10-06,4,3,52,134,109
"598",2015-10-07,10,6,36,37,30
"599",2015-10-08,3,1,29,15,14
"600",2015-10-09,0,0,2,2,2
"601",2015-10-10,0,0,0,1,1
"602",2015-10-11,0,0,9,3,3
"603",2015-10-13,0,0,13,3,3
"604",2015-10-14,0,1,1,7,4
"605",2015-10-16,3,1,44,57,25
"606",2015-10-17,51,5,195,59,29
"607",2015-10-18,46,9,175,116,45
"608",2015-10-19,6,0,26,33,14
"609",2015-10-20,5,3,42,16,12
"610",2015-10-21,0,1,1,16,8
"611",2015-10-22,1,0,2,8,4
"612",2015-10-23,0,0,2,8,6
"613",2015-10-24,5,2,16,31,13
"614",2015-10-25,1,0,17,37,25
"615",2015-10-26,29,4,138,19,13
"616",2015-10-27,0,1,5,14,11
"617",2015-10-28,2,0,15,11,11
"618",2015-10-29,3,1,24,10,8
"619",2015-10-30,1,0,3,11,9
"620",2015-10-31,2,0,12,10,6
"621",2015-11-01,11,2,19,13,9
"622",2015-11-02,0,0,5,7,4
"623",2015-11-03,0,0,0,3,3
"624",2015-11-04,4,1,10,11,8
"625",2015-11-05,0,0,1,9,5
"626",2015-11-06,0,0,3,4,3
"627",2015-11-07,1,0,5,5,4
"628",2015-11-08,9,0,41,9,8
"629",2015-11-09,2,0,24,14,8
"630",2015-11-10,6,1,20,27,18
"631",2015-11-11,0,0,2,5,4
"632",2015-11-12,0,0,0,4,2
"633",2015-11-13,9,0,22,1,1
"634",2015-11-14,6,0,11,8,5
"635",2015-11-15,0,0,7,3,3
"636",2015-11-16,5,1,19,8,7
"637",2015-11-18,0,0,1,4,4
"638",2015-11-19,1,1,7,6,5
"639",2015-11-20,1,1,11,8,4
