periode,user,n
1_Emergence,@KRjogjadotcom,5
1_Emergence,@Nailmumt,5
1_Emergence,@OSDLR_SMGTMR,5
1_Emergence,@RamadityaBP,5
1_Emergence,@RidwanFirdausss,5
1_Emergence,@SaputraV_13,5
1_Emergence,@Sekitar_Pati,5
1_Emergence,@ShareOshi_JKT48,5
1_Emergence,@Tathe3,5
1_Emergence,@UyaCipriano,5
1_Emergence,@YogyakartaCity,5
1_Emergence,@agungportal,5
1_Emergence,@alifmadani,5
1_Emergence,@anasir,5
1_Emergence,@arifinprassetya,5
1_Emergence,@aripong,5
1_Emergence,@ashnuu,5
1_Emergence,@azharathustra,5
1_Emergence,@badsyaw13,5
1_Emergence,@beritagarID,5
1_Emergence,@bitingsosweet,5
1_Emergence,@cekdev,5
1_Emergence,@danaretropolis,5
1_Emergence,@detranium,5
1_Emergence,@dhee_kha,5
1_Emergence,@dhirahmad,5
1_Emergence,@didiclapper,5
1_Emergence,@dnrswy,5
1_Emergence,@eghagalang,5
1_Emergence,@ekosupriyant_,5
1_Emergence,@fajrinous,5
1_Emergence,@fidoseptian48,5
1_Emergence,@habiibb_,5
1_Emergence,@hellowakakaka,5
1_Emergence,@infobencana,5
1_Emergence,@jamaleltripot,5
1_Emergence,@justdhedhek,5
1_Emergence,@kakek_Gila,5
1_Emergence,@khanif_7,5
1_Emergence,@king_surya,5
1_Emergence,@kokomawon,5
1_Emergence,@kompasiana,5
1_Emergence,@kurangturu1,5
1_Emergence,@mas_bindil,5
1_Emergence,@mcberanaktiga,5
1_Emergence,@mokojuventini,5
1_Emergence,@muizday,5
1_Emergence,@nopaloke,5
1_Emergence,@nukman,5
1_Emergence,@prasUNYEP,5
1_Emergence,@ramaalagi,5
1_Emergence,@rendrano,5
1_Emergence,@republikaonline,5
1_Emergence,@ridhwanarbianto,5
1_Emergence,@ristkoko,5
1_Emergence,@sarahijau,5
1_Emergence,@sipipit,5
1_Emergence,@thytarts,5
1_Emergence,@tidvrberjalan,5
1_Emergence,@tororetoret,5
1_Emergence,@wahyuseparatis,5
1_Emergence,@wargaberdaya,5
1_Emergence,@withVRD,5
1_Emergence,@yodhika,5
1_Emergence,@yusnanatmaja,5
1_Emergence,@zakinuhan,5
2_Coalescence,@Arsnanda,5
2_Coalescence,@Dhevid_T,5
2_Coalescence,@Friday_Ride,5
2_Coalescence,@Hendikhermawan9,5
2_Coalescence,@ISYFJOGJA,5
2_Coalescence,@JRA_OSD,5
2_Coalescence,@Maz_Jo,5
2_Coalescence,@RDR_PabuSacilat,5
2_Coalescence,@YoggaOxford,5
2_Coalescence,@_maramare,5
2_Coalescence,@alfdjones,5
2_Coalescence,@aryahave,5
2_Coalescence,@djenggothen,5
2_Coalescence,@firmansyah_rf,5
2_Coalescence,@franciscavera_,5
2_Coalescence,@ghanyfadzli,5
2_Coalescence,@itoprakoso_,5
2_Coalescence,@king_surya,5
2_Coalescence,@komperta_vian,5
2_Coalescence,@melaniesubono,5
2_Coalescence,@nrraudhatul,5
2_Coalescence,@outSIDers_YK,5
2_Coalescence,@rizalriskiadam7,5
2_Coalescence,@starjogja,5
2_Coalescence,@theParade5,5
2_Coalescence,@uzzx_sekotjaFaj,5
3_Bureaucratization,@1Harapan,5
3_Bureaucratization,@AlibabaKun,5
3_Bureaucratization,@Aziz_Zzailani,5
3_Bureaucratization,@BOBBYBIKUL,5
3_Bureaucratization,@Dega_29,5
3_Bureaucratization,@HaryadiSuyuti,5
3_Bureaucratization,@IKSANSKUTER,5
3_Bureaucratization,@ImmGh,5
3_Bureaucratization,@Kikyikhsan_,5
3_Bureaucratization,@LailaNR28,5
3_Bureaucratization,@NorthKendeng,5
3_Bureaucratization,@Nugroho11Eko,5
3_Bureaucratization,@PinasthikaFest,5
3_Bureaucratization,@Rachel_JKT48,5
3_Bureaucratization,@SickBrain_YK,5
3_Bureaucratization,@SinkaJ_JKT48,5
3_Bureaucratization,@SkinOed,5
3_Bureaucratization,@SlemanNgepit,5
3_Bureaucratization,@TrafalgarRizal,5
3_Bureaucratization,@YogyakartaCity,5
3_Bureaucratization,@Yol_Nyol,5
3_Bureaucratization,@YoshuaAlif,5
3_Bureaucratization,@anang_batas,5
3_Bureaucratization,@arssetiawan,5
3_Bureaucratization,@bemkmugm,5
3_Bureaucratization,@daniarIkhsan,5
3_Bureaucratization,@elvi_9948,5
3_Bureaucratization,@emiragil7,5
3_Bureaucratization,@ghaidaJKT48,5
3_Bureaucratization,@harisfirdaus,5
3_Bureaucratization,@haryadisuyuti,5
3_Bureaucratization,@herry_zudianto,5
3_Bureaucratization,@irfhansp_,5
3_Bureaucratization,@jogja_puenak,5
3_Bureaucratization,@kei2801,5
3_Bureaucratization,@masbutet,5
3_Bureaucratization,@mybothsides,5
3_Bureaucratization,@ndesopetualang,5
3_Bureaucratization,@renoyusuf_,5
3_Bureaucratization,@sarasdewi,5
3_Bureaucratization,@srengengexxx,5
3_Bureaucratization,@ucupjb,5
3_Bureaucratization,@urbanpoor,5
3_Bureaucratization,@yudhiiyudhek,5
4_Decline,@FEBxSUD,5
4_Decline,@SickBrain_YK,5
4_Decline,@TVRINasional,5
4_Decline,@WALHI_Jogja,5
4_Decline,@YogyakartaCity,5
4_Decline,@abul_laits,5
4_Decline,@adittyachris,5
4_Decline,@dwerachmanto,5
4_Decline,@garuksampah,5
4_Decline,@jamaleltripot,5
4_Decline,@jojochristopher,5
4_Decline,@ombudsmanjogja,5
1_Emergence,@Ach_Suhaimi_MWM,4
1_Emergence,@Acheaven,4
1_Emergence,@Agnarrock27,4
1_Emergence,@AlfiaInnayati,4
1_Emergence,@AnggityaBayu,4
1_Emergence,@ArdiansyahNS,4
1_Emergence,@ArmanKendy,4
1_Emergence,@Arya_slk,4
