"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"599","RT @SukaBasaBasi: Hei kau yg mengaku sbg muslim..
Jgn lah kau Taqlid Buta dalam suatu ormas atau pemimpin.
Karna jelas itu membawa anda ke<U+2026>",FALSE,0,NA,2018-10-29 21:16:35,FALSE,NA,"1057018381268742144",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bainpilihno2",525,TRUE,FALSE,NA,NA
"600","RT @AnonArmy777: Wahai warga jatim dapil 1 surabaya

Ini orang yg menyuruh polisi menembak ditempat siapa saja yg membawa bendera tauhid. M<U+2026>",FALSE,0,NA,2018-10-29 21:15:45,FALSE,NA,"1057018174447603712",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Danissarahma2",431,TRUE,FALSE,NA,NA
"601","RT @Rusydi_riau: l<U+0001F449> AKSI PAMEKASAN <U+0001F448>l

#AksiBelaTauhid Di Pamekasan, Siang Tadi, Di Ikuti Oleh Ribuan Ummat Muslim, Mereka Menuntut #Bubark<U+2026>",FALSE,0,NA,2018-10-29 21:11:54,FALSE,NA,"1057017204380590080",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hanafia80839775",82,TRUE,FALSE,NA,NA
"602","#Banserormasterlarang #banseroramsbajingan
#ansorormasterlarang
#ansorormasbajingan
#BubarkanBanser 
#bubarkanansor<U+2026> https://t.co/Wi4JtlCsFP",FALSE,0,NA,2018-10-29 21:09:12,TRUE,NA,"1057016522403602432",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","boydaus009",0,FALSE,FALSE,NA,NA
"603","RT @Rusydi_riau: l<U+0001F449> AKSI PAMEKASAN <U+0001F448>l

#AksiBelaTauhid Di Pamekasan, Siang Tadi, Di Ikuti Oleh Ribuan Ummat Muslim, Mereka Menuntut #Bubark<U+2026>",FALSE,0,NA,2018-10-29 20:55:02,FALSE,NA,"1057012960290164736",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bakar55778917",82,TRUE,FALSE,NA,NA
"604","RT @PanglimaHansip: bagi yang membela banser..pencet LIKE
bagi yang membela bendera Tauhid pencet RT #BubarkanBanser https://t.co/zdYc4O5PpG",FALSE,0,NA,2018-10-29 20:47:50,FALSE,NA,"1057011146022998016",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","setyobudiasmoro",639,TRUE,FALSE,NA,NA
"605","RT @KankNdanK: #BubarkanBanser https://t.co/0NM13FeqeV",FALSE,0,NA,2018-10-29 20:45:00,FALSE,NA,"1057010434950094848",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HendraZandi",9,TRUE,FALSE,NA,NA
"606","@timurkotajogja @elfizal Mending bubarkan aja banser, ada juga gak ngaruh apa apa sama NU
#BubarkanBanser",FALSE,0,"timurkotajogja",2018-10-29 20:35:33,FALSE,"1056518032955043840","1057008054774812672","1038594394834620416","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Yusup2018",0,FALSE,FALSE,NA,NA
"607","RT @SukaBasaBasi: Hei kau yg mengaku sbg muslim..
Jgn lah kau Taqlid Buta dalam suatu ormas atau pemimpin.
Karna jelas itu membawa anda ke<U+2026>",FALSE,0,NA,2018-10-29 20:35:15,FALSE,NA,"1057007979097018368",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PadiOyan",525,TRUE,FALSE,NA,NA
"608","RT @AnonArmy777: Wahai warga jatim dapil 1 surabaya

Ini orang yg menyuruh polisi menembak ditempat siapa saja yg membawa bendera tauhid. M<U+2026>",FALSE,0,NA,2018-10-29 20:34:42,FALSE,NA,"1057007842719191040",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","muchtarkendari",431,TRUE,FALSE,NA,NA
